time,location,population,number_of_reproducing_cells,average_affinity,number_of_cells_with_1_children,number_of_cells_with_2_children,number_of_cells_with_3_children,number_of_cells_with_4_children,number_of_cells_with_5_children,number_of_cells_with_6_children,number_of_cells_with_7_children,number_of_cells_with_8_children,number_of_cells_with_9_children,clone_id
31,other,140,140,1.0257379095414181e+38,0,0,0,0,0,0,0,0,0,1
32,germinal_center,1000,577,3.7700986774456e+38,286,182,80,20,6,0,0,0,0,1
32,other,143,143,1.1012383568507144e+38,0,0,0,0,0,0,0,0,0,1
33,germinal_center,1000,601,3.719460299533924e+38,337,163,62,25,9,1,0,0,0,1
33,other,147,147,1.2100818226736961e+38,0,0,0,0,0,0,0,0,0,1
34,germinal_center,1000,584,3.808779709298921e+38,301,176,70,28,5,0,0,0,0,1
34,other,151,151,1.307917598507664e+38,0,0,0,0,0,0,0,0,0,1
35,germinal_center,1000,577,3.8062557402469675e+38,299,169,72,19,13,1,0,0,0,1
35,other,155,155,1.4103831154957645e+38,0,0,0,0,0,0,0,0,0,1
36,germinal_center,1000,583,3.7989109676080545e+38,303,163,75,30,4,1,0,0,0,1
36,other,162,162,1.5177933997875203e+38,0,0,0,0,0,0,0,0,0,1
37,germinal_center,1000,585,3.8074802252265214e+38,304,178,76,15,8,2,0,0,0,1
37,other,164,164,1.558970845646056e+38,0,0,0,0,0,0,0,0,0,1
38,germinal_center,1000,591,3.752450440956851e+38,315,178,63,22,8,2,0,0,0,1
38,other,167,167,1.6061113684585722e+38,0,0,0,0,0,0,0,0,0,1
39,germinal_center,1000,579,3.948088646586467e+38,290,169,78,27,6,0,0,0,0,1
39,other,176,176,1.7550823741484903e+38,0,0,0,0,0,0,0,0,0,1
40,germinal_center,1000,563,4.01486987645312e+38,281,176,62,28,10,2,1,0,0,1
40,other,179,179,1.8020611490530427e+38,0,0,0,0,0,0,0,0,0,1
41,germinal_center,1000,579,4.13411970283486e+38,297,180,66,24,7,0,2,0,0,1
41,other,182,182,1.8378124110000762e+38,0,0,0,0,0,0,0,0,0,1
42,germinal_center,1000,579,4.018107105310583e+38,291,180,73,23,5,1,1,0,0,1
42,other,187,187,1.9097939542470806e+38,0,0,0,0,0,0,0,0,0,1
43,germinal_center,1000,552,4.3213673143967445e+38,279,148,80,30,10,1,0,0,1,1
43,other,190,190,1.952047400761441e+38,0,0,0,0,0,0,0,0,0,1
44,germinal_center,1000,583,4.896740466228351e+38,305,172,64,17,11,2,0,3,0,1
44,other,199,199,2.2267349473788526e+38,0,0,0,0,0,0,0,0,0,1
45,germinal_center,1000,519,7.149141313946527e+38,259,132,59,30,14,5,4,3,2,1
45,other,209,209,2.6069762205450876e+38,0,0,0,0,0,0,0,0,0,1
46,germinal_center,1000,503,1.1765773568494352e+39,257,123,52,24,18,7,11,1,2,1
46,other,216,216,2.9286487679222784e+38,0,0,0,0,0,0,0,0,0,1
47,germinal_center,1000,516,1.6492856514650124e+39,256,116,86,37,13,3,2,0,1,1
47,other,218,218,2.9435857739893955e+38,0,0,0,0,0,0,0,0,0,1
48,germinal_center,1000,576,1.7301394722712514e+39,294,167,75,23,7,2,0,1,0,1
48,other,225,225,3.657560473722935e+38,0,0,0,0,0,0,0,0,0,1
49,germinal_center,1000,564,1.764330463185745e+39,270,176,81,22,8,0,1,0,0,1
49,other,231,231,3.988151071381176e+38,0,0,0,0,0,0,0,0,0,1
50,germinal_center,1000,588,1.7333313665707626e+39,318,147,78,27,8,1,0,0,0,1
50,other,240,240,4.648739054578378e+38,0,0,0,0,0,0,0,0,0,1
51,germinal_center,1000,578,1.710538276359975e+39,284,153,71,27,9,5,2,0,0,1
51,other,230,230,4.934048447520611e+38,0,0,0,0,0,0,0,0,0,1
52,germinal_center,1000,561,1.7178318639857775e+39,277,175,67,29,10,1,0,0,0,1
52,other,232,232,5.088675141237473e+38,0,0,0,0,0,0,0,0,0,1
53,germinal_center,1000,573,1.7737249814105145e+39,302,155,70,34,6,2,0,0,0,1
53,other,236,236,5.343473418813769e+38,0,0,0,0,0,0,0,0,0,1
54,germinal_center,1000,602,1.7336227194097734e+39,324,175,71,18,7,1,0,0,0,1
54,other,242,242,5.736602853343434e+38,0,0,0,0,0,0,0,0,0,1
55,germinal_center,1000,592,1.7239085530442578e+39,316,168,79,17,5,3,0,0,0,1
55,other,246,246,5.9159283236821695e+38,0,0,0,0,0,0,0,0,0,1
56,germinal_center,1000,571,1.6963750884627883e+39,298,164,63,31,7,2,2,0,0,1
56,other,250,250,6.172316639599845e+38,0,0,0,0,0,0,0,0,0,1
57,germinal_center,1000,586,1.7055011888178493e+39,302,178,71,23,6,0,1,0,0,1
57,other,255,255,6.333555006867483e+38,0,0,0,0,0,0,0,0,0,1
58,germinal_center,1000,580,1.699217797909209e+39,307,155,76,25,6,3,1,0,0,1
58,other,262,262,6.739810452839146e+38,0,0,0,0,0,0,0,0,0,1
59,germinal_center,1000,572,1.711550521295961e+39,288,167,75,18,11,3,0,1,0,1
59,other,271,271,7.204136914967786e+38,0,0,0,0,0,0,0,0,0,1
60,germinal_center,1000,568,1.6748170247290755e+39,284,167,76,26,10,0,0,0,0,1
60,other,276,276,7.432127516918215e+38,0,0,0,0,0,0,0,0,0,1
61,germinal_center,1000,575,1.6700257021123122e+39,291,179,64,27,5,3,0,1,0,1
61,other,281,281,7.555375434783426e+38,0,0,0,0,0,0,0,0,0,1
62,germinal_center,1000,574,1.70100423727216e+39,286,169,82,21,4,2,2,0,0,1
62,other,289,289,7.923560468581875e+38,0,0,0,0,0,0,0,0,0,1
63,germinal_center,1000,569,1.7322089004407296e+39,285,164,81,26,8,0,0,0,0,1
63,other,294,294,8.227356253892187e+38,0,0,0,0,0,0,0,0,0,1
64,germinal_center,1000,593,1.7414785734702328e+39,308,178,64,29,3,1,1,0,0,1
64,other,303,303,8.674743250994643e+38,0,0,0,0,0,0,0,0,0,1
65,germinal_center,1000,583,1.741062876231752e+39,303,171,73,21,4,3,2,0,0,1
65,other,309,309,8.961053853748747e+38,0,0,0,0,0,0,0,0,0,1
66,germinal_center,1000,564,1.8288581530179452e+39,278,168,85,21,8,0,1,0,0,1
66,other,312,312,9.133957219048867e+38,0,0,0,0,0,0,0,0,0,1
67,germinal_center,1000,582,1.7887404113125376e+39,303,167,72,26,6,1,1,0,0,1
67,other,318,318,9.36734439686045e+38,0,0,0,0,0,0,0,0,0,1
68,germinal_center,1000,568,1.82241168915953e+39,272,177,71,27,7,3,0,0,0,1
68,other,329,329,9.730119369721438e+38,0,0,0,0,0,0,0,0,0,1
69,germinal_center,1000,575,1.7767733619065858e+39,298,166,77,26,7,0,0,0,0,1
69,other,330,330,9.710849152532132e+38,0,0,0,0,0,0,0,0,0,1
70,germinal_center,1000,596,1.7658553831044106e+39,314,173,75,18,6,1,1,0,0,1
70,other,338,338,9.9739703521828e+38,0,0,0,0,0,0,0,0,0,1
71,germinal_center,1000,575,1.775703932484935e+39,293,174,72,24,7,2,0,0,0,1
71,other,341,341,1.0118261389088005e+39,0,0,0,0,0,0,0,0,0,1
72,germinal_center,1000,591,1.7116504748243104e+39,316,165,74,25,4,2,0,0,0,1
72,other,346,346,1.0295461315399633e+39,0,0,0,0,0,0,0,0,0,1
73,germinal_center,1000,570,1.7540261267761973e+39,284,169,77,20,11,2,0,0,0,1
73,other,353,353,1.0519536492986516e+39,0,0,0,0,0,0,0,0,0,1
74,germinal_center,1000,580,1.7702516693518408e+39,293,182,75,19,7,0,1,0,0,1
74,other,356,356,1.0537646927996025e+39,0,0,0,0,0,0,0,0,0,1
75,germinal_center,1000,587,1.7594783839144827e+39,293,190,67,18,7,2,1,0,0,1
75,other,365,365,1.0836940602096008e+39,0,0,0,0,0,0,0,0,0,1
